Error_ID,Trial_ID,Participant_ID,Task_Difficulty,Task_Description,Error_Category,Error_Type,Error_Description,ASR_Transcript,Reference_Text,ASR_Accuracy,LLM_Suggestion_1,LLM_Suggestion_2,LLM_Suggestion_3,Final_Command,User_Action,Recoverable,Preventable,Severity,Root_Cause,Prevention_Strategy
E001,T001,P23,2,Create file shortcut,LLM,Command_Generation_Error,Model suggested wrong command for the task,Create symbolic link to file,Create symbolic link to file,95.3,"New-Item -ItemType SymbolicLink -Path ""link.txt"" -Target ""original.txt""",dir,Get-ChildItem -Force,"New-Item -ItemType SymbolicLink -Path ""link.txt"" -Target ""original.txt""",Used the Windows GUI instead of command line,Yes,Yes,Medium,System service dependency was not available,Add user permission checking before execution
E002,T002,P12,1,Check motherboard info,LLM,Command_Generation_Error,Model suggested wrong command for the task,Display motherboard details,Show motherboard details,88.4,Get-WmiObject -Class Win32_BaseBoard,dir,Get-ChildItem -Force,Get-WmiObject -Class Win32_BaseBoard,Manually typed the correct PowerShell command,Yes,Yes,High,PowerShell execution policy prevented script running,Implement better noise cancellation for ASR
E003,T003,P09,2,Save event logs to file,LLM,Command_Generation_Error,The model suggested a Linux command instead of the Windows equivalent,Export event logs to file,Export event logs to file,82.3,"Get-WinEvent -LogName System | Export-Csv ""system_logs.csv""",dir,Get-ChildItem -Force,"Get-WinEvent -LogName System | Export-Csv ""system_logs.csv""",Cleared the command history and retried,Yes,Yes,Medium,Registry corruption prevented proper command execution,Add system resource availability checking
E004,T004,P05,2,Check disk errors,LLM,Command_Generation_Error,LLM suggested command that requires additional setup,Check disk for errors,Check disk for errors,77.4,chkdsk C: /f,dir,Get-ChildItem -Force,chkdsk C: /f,Manually typed the correct PowerShell command,Yes,Yes,Medium,PowerShell execution policy prevented script running,Provide user training on proper command usage
E005,T005,P01,1,Display CPU information,LLM,Command_Generation_Error,Generated command used incorrect variable syntax,Display CPU information,Display CPU information,92.8,Get-WmiObject -Class Win32_Processor,dir,Get-ChildItem -Force,Get-WmiObject -Class Win32_Processor,Used a different approach to accomplish the same task,Yes,Yes,Medium,Network connectivity was unstable during execution,Add command validation before execution
E006,T006,P20,3,Configure group policy,LLM,Command_Generation_Error,LLM suggested command that would fail due to permissions,Configure group policy,Configure group policy,77.7,gpupdate /force,dir,Get-ChildItem -Force,gpupdate /force,Used the Windows GUI instead of command line,Yes,Yes,Medium,System was in a restricted execution environment,Implement better command suggestion filtering
E007,T007,P03,3,Manage Windows services,LLM,Command_Generation_Error,Model generated command with invalid PowerShell operators,Manage Windows services,Manage Windows services,80.4,"Get-Service | Where-Object {$_.Status -eq ""Stopped""} | Start-Service",dir,Get-ChildItem -Force,"Get-Service | Where-Object {$_.Status -eq ""Stopped""} | Start-Service",Used a different approach to accomplish the same task,Yes,Yes,Low,Registry corruption prevented proper command execution,Add system compatibility checking before execution
E008,T008,P12,1,Display system date and time,LLM,Command_Generation_Error,Generated command had incorrect PowerShell syntax,Display system date and time,Display system date and time,92.2,Get-Date,dir,Get-ChildItem -Force,Get-Date,Asked for help from the study supervisor,Yes,Yes,High,System was in a restricted execution environment,Add command validation before execution
E009,T009,P13,1,Show disk space usage,LLM,Command_Generation_Error,Model provided command with missing required flags,Display disk space usage,Show disk space usage,96.3,Get-WmiObject -Class Win32_LogicalDisk,dir,Get-ChildItem -Force,Get-WmiObject -Class Win32_LogicalDisk,Skipped the task and moved to the next one,Yes,Yes,Medium,Windows security policy blocked the operation,Provide user training on proper command usage
E010,T010,P11,1,Clear the screen,LLM,Command_Generation_Error,LLM provided incomplete command missing required arguments,Clear the screen,Clear the screen,83.0,Clear-Host,dir,Get-ChildItem -Force,Clear-Host,Asked for help from the study supervisor,Yes,Yes,Medium,Windows security policy blocked the operation,Add system compatibility checking before execution
