Trial_ID,Participant_ID,Task_Number,Task_Difficulty,Task_Description,ASR_Transcript,Reference_Text,ASR_Accuracy,LLM_Suggestion_1,LLM_Suggestion_2,LLM_Suggestion_3,Correct_Suggestion_Rank,User_Choice,Final_Command,Execution_Success,Execution_Time_Seconds,ASR_Time,LLM_Time,Confirmation_Time,Total_Latency,Retry_Count,Manual_Edit,Error_Category,Error_Details
T001,P01,1,2,Count lines in file,Count lines in a specific file,Count lines in a specific file,90.0,Get-Content file.txt | Measure-Object -Line,Set-LoGet-Contention,Get-LoGet-Contention,1,1,Get-Content file.txt | Measure-Object -Line,Success,0.6,2.0,5.6,0.9,8.5,0,No,None,None
T002,P01,2,1,List recent files,List recent file,List recent files,88.0,Get-ChildItem -Path $env:USERPROFILE\Recent,dir,Get-ChildItem -Name,1,1,Get-ChildItem -Path $env:USERPROFILE\Recent,Success,1.0,2.1,3.7,1.2,7.0,0,No,None,None
T003,P01,3,2,Find text files here,Find all text files in current directory,Find all text files in current directory,87.5,"Get-ChildItem -Filter ""*.txt""",systeminfo,Get-ComputerInfo,1,1,"Get-ChildItem -Filter ""*.txt""",Success,0.6,3.1,5.1,1.1,9.3,0,No,None,None
T004,P01,4,3,Install software automatically,Automate software installation,Automate software installation,75.2,"Start-Process ""installer.msi"" -ArgumentList ""/quiet"" -Wait",netstat,Get-NetTCPConnection,3,1,"Start-Process ""installer.msi"" -ArgumentList ""/quiet"" -Wait",Failed,1.0,2.1,4.6,2.0,8.7,3,No,LLM,Command generation error
T005,P01,5,3,Compress all log files into archive,Compress all log file into archive,Compress all log files into archive,91.2,"Get-ChildItem -Filter ""*.log"" | Compress-Archive -DestinationPath ""logs.zip""",date,Get-Date,1,1,"Get-ChildItem -Filter ""*.log"" | Compress-Archive -DestinationPath ""logs.zip""",Success,1.0,2.0,3.9,1.7,7.6,0,No,None,None
T006,P01,6,3,Perform system audit,Perform system audit,Perform system audit,81.5,"Get-ComputerInfo | Out-File ""audit.txt""; Get-Service | Out-File ""audit.txt"" -Append; Get-Process | Out-File ""audit.txt"" -Append",date,Get-Date,1,1,"Get-ComputerInfo | Out-File ""audit.txt""; Get-Service | Out-File ""audit.txt"" -Append; Get-Process | Out-File ""audit.txt"" -Append",Success,0.6,3.0,5.2,1.8,10.0,0,No,None,None
T007,P01,7,1,Show current working directory,Show current working directory,Show current working directory,81.7,Get-Location,Set-LoGet-Contention,Get-LoGet-Contention,2,3,Set-LoGet-Contention,Failed,0.4,2.5,4.0,1.3,7.8,0,No,ASR,Speech recognition error
T008,P01,8,2,Search for text in all files,Search for text in all files,Search for text in all files,80.9,"Select-String -Path ""*.txt"" -Pattern ""search_text""",Set-LoGet-Contention,Get-LoGet-Contention,3,2,dir,Failed,1.2,1.9,4.6,0.9,7.4,2,No,LLM,Command generation error
T009,P01,9,1,Show available drives,Show ... available drives,Show available drives,96.5,Get-WmiObject -Class Win32_LogicalDisk,date,Get-Date,1,1,Get-WmiObject -Class Win32_LogicalDisk,Success,1.0,2.1,4.2,2.1,8.4,0,No,None,None
T010,P01,10,1,Show network configuration,Show network configuration,Show network configuration,87.9,Get-NetIPConfiguration,dir,Get-ChildItem -Name,1,2,dir,Success,1.3,2.7,4.0,2.0,8.7,0,No,None,None
T011,P01,11,1,Show disk space usage,Show disk space usage,Show disk space usage,97.2,Get-WmiObject -Class Win32_LogicalDisk,date,Get-Date,1,1,Get-WmiObject -Class Win32_LogicalDisk,Success,0.8,2.9,3.9,0.9,7.7,0,No,None,None
